Date,price_24k,price_22k,price_18k
2004-01-05,620.37,568.26,465.28
2004-01-06,619.16,567.15,464.37
2004-01-07,615.65,563.93,461.74
2004-01-08,619.82,567.75,464.86
2004-01-09,621.72,569.5,466.29
2004-01-12,621.48,569.27,466.11
2004-01-13,617.27,565.42,462.95
2004-01-14,614.56,562.93,460.92
2004-01-15,595.45,545.43,446.59
2004-01-16,592.66,542.87,444.49
2004-01-20,601.44,550.92,451.08
2004-01-21,598.83,548.53,449.12
2004-01-22,597.41,547.23,448.06
2004-01-23,593.34,543.5,445.01
2004-01-26,591.23,541.57,443.42
2004-01-27,596.75,546.63,447.56
2004-01-28,603.06,552.41,452.3
2004-01-29,580.01,531.29,435.01
2004-01-30,581.95,533.06,436.46
2004-02-02,579.08,530.43,434.31
2004-02-03,580.23,531.49,435.17
2004-02-04,582.85,533.89,437.14
2004-02-05,578.6,530.0,433.95
2004-02-06,586.1,536.87,439.58
2004-02-09,591.06,541.41,443.3
2004-02-10,590.38,540.78,442.78
2004-02-11,595.95,545.89,446.96
2004-02-12,601.19,550.69,450.9
2004-02-13,598.39,548.13,448.79
2004-02-17,604.54,553.76,453.4
2004-02-18,598.76,548.47,449.07
2004-02-19,595.45,545.43,446.59
2004-02-20,577.28,528.79,432.96
2004-02-23,579.47,530.8,434.6
2004-02-24,587.98,538.59,440.99
2004-02-25,575.0,526.7,431.25
2004-02-26,574.77,526.49,431.08
2004-02-27,576.0,527.62,432.0
2004-03-01,579.92,531.21,434.94
2004-03-02,571.57,523.56,428.68
2004-03-03,569.61,521.76,427.21
2004-03-04,571.33,523.34,428.5
2004-03-05,583.05,534.07,437.28
2004-03-08,581.9,533.02,436.42
2004-03-09,586.47,537.2,439.85
2004-03-10,580.11,531.39,435.09
2004-03-11,582.1,533.2,436.57
2004-03-12,574.09,525.86,430.56
2004-03-15,580.03,531.31,435.02
2004-03-16,584.11,535.05,438.08
2004-03-17,590.93,541.29,443.2
2004-03-18,596.75,546.63,447.57
2004-03-19,597.99,547.76,448.49
2004-03-22,604.85,554.05,453.64
2004-03-23,604.79,553.99,453.6
2004-03-24,598.98,548.67,449.24
2004-03-25,598.31,548.05,448.73
2004-03-26,603.87,553.15,452.91
2004-03-29,589.77,540.23,442.33
2004-03-30,594.01,544.12,445.51
2004-03-31,595.32,545.32,446.49
2004-04-01,596.56,546.44,447.42
2004-04-02,592.34,542.59,444.26
2004-04-05,581.87,532.99,436.4
2004-04-06,587.58,538.22,440.68
2004-04-07,589.69,540.16,442.27
2004-04-08,587.59,538.23,440.69
2004-04-12,587.87,538.49,440.9
2004-04-13,570.98,523.02,428.23
2004-04-14,561.3,514.15,420.98
2004-04-15,560.14,513.09,420.11
2004-04-16,563.77,516.42,422.83
2004-04-19,564.0,516.62,423.0
2004-04-20,560.91,513.79,420.68
2004-04-21,552.61,506.19,414.46
2004-04-22,555.6,508.93,416.7
2004-04-23,560.31,513.24,420.23
2004-04-26,560.31,513.24,420.23
2004-04-27,564.79,517.35,423.6
2004-04-28,546.51,500.61,409.88
2004-04-29,550.86,504.59,413.15
2004-04-30,551.0,504.71,413.25
2004-05-03,551.1,504.8,413.32
2004-05-04,563.36,516.04,422.52
2004-05-05,563.62,516.28,422.72
2004-05-06,556.24,509.51,417.18
2004-05-07,542.19,496.64,406.64
2004-05-10,546.98,501.03,410.23
2004-05-11,547.35,501.37,410.51
2004-05-12,549.8,503.62,412.35
2004-05-13,544.18,498.47,408.14
2004-05-14,550.04,503.84,412.53
2004-05-17,554.31,507.75,415.73
2004-05-18,547.91,501.88,410.93
2004-05-19,554.93,508.32,416.2
2004-05-20,548.85,502.75,411.64
2004-05-21,559.08,512.12,419.31
2004-05-24,560.15,513.1,420.11
2004-05-25,565.18,517.71,423.89
2004-05-26,565.11,517.64,423.83
2004-05-27,575.04,526.74,431.28
2004-05-28,573.72,525.53,430.29
2004-06-01,575.61,527.26,431.71
2004-06-02,569.64,521.79,427.23
2004-06-03,562.81,515.53,422.1
2004-06-04,566.19,518.63,424.64
2004-06-07,568.89,521.11,426.67
2004-06-08,564.76,517.32,423.57
2004-06-09,554.15,507.6,415.61
2004-06-10,558.18,511.29,418.63
2004-06-14,558.08,511.2,418.56
2004-06-15,564.8,517.36,423.6
2004-06-16,560.46,513.38,420.35
